Designator,Mid X,Mid Y,Rotation,Layer
D72,26.0,-2.3,270.0,bottom
D73,-29.2,-3.9,0.0,top
D74,-14.6,-3.9,0.0,top
D75,14.6,-3.9,0.0,top
D76,29.2,-3.9,0.0,top
D77,-27.95,-57.65,180.0,top
D78,-13.95,-57.65,180.0,top
D79,5.725,15.525,270.0,bottom
D8,-34.0,-2.3,270.0,bottom
D80,14.05,-57.65,180.0,top
D81,28.05,-57.65,180.0,top
D82,-29.2608,41.2496,180.0,bottom
D83,46.4775,32.24,180.0,bottom
D84,46.3,57.0775,270.0,bottom
D85,20.5,29.8,180.0,bottom
D86,24.65,25.2,180.0,bottom
D9,-33.0,-5.8,270.0,bottom
H1,-50.35,57.85,0.0,top
H2,50.35,57.85,90.0,top
H3,-44.35,-60.85,0.0,top
H4,44.35,-60.85,0.0,top
J1,-38.75,61.32,180.0,bottom
J10,52.5,19.0,270.0,bottom
J13,-47.2948,-13.0048,0.0,bottom
J2,-52.017,48.2,90.0,bottom
J4,49.58,6.05,90.0,bottom
J5,-52.125,12.65,180.0,bottom
J6,3.81,6.2,270.0,bottom
J7,46.475,-13.3096,0.0,bottom
J8,-48.75,31.55,270.0,bottom
J9,34.95,23.05,0.0,bottom
L1,-9.75,15.0,90.0,bottom
L2,-32.925,28.775,270.0,bottom
L4,44.85,53.11,180.0,bottom
L6,46.45,28.88,180.0,bottom
L7,-21.25,48.75,180.0,bottom
Q1,-22.862499,30.8,180.0,bottom
Q2,32.9,-1.6625,270.0,bottom
Q3,52.872501,13.33,270.0,bottom
Q4,47.2,13.3275,270.0,bottom
Q5,21.9225,15.5275,270.0,bottom
Q6,9.125,12.925,180.0,bottom
R1,-37.99,0.2,0.0,bottom
R10,-37.0332,55.4482,0.0,bottom
R100,35.25,-2.65,270.0,bottom
R101,35.68,-1.21,0.0,bottom
R11,-31.525,1.925,90.0,bottom
R12,12.57,52.2,180.0,bottom
R13,13.67,47.08,180.0,bottom
R15,13.66,48.35,180.0,bottom
R16,13.09,43.28,0.0,bottom
R17,13.1,38.2,0.0,bottom
R18,13.1,39.45,0.0,bottom
R19,-28.5496,38.1,90.0,bottom
R2,-34.0,0.2,0.0,bottom
R20,-24.325,33.659999,90.0,bottom
R21,-25.384999,37.625,0.0,bottom
R22,-25.375,38.7,180.0,bottom
R23,-32.475,1.925,90.0,bottom
R24,22.1225,12.565,180.0,bottom
R25,-0.65,12.21,90.0,bottom
R26,13.1,42.02,180.0,bottom
R27,45.140001,46.775,0.0,bottom
R28,-20.44,7.620001,90.0,bottom
R29,-20.45,9.980001,270.0,bottom
R3,-25.99,0.2,0.0,bottom
R30,-9.74,39.47,180.0,bottom
R31,-18.515001,30.735,180.0,bottom
R32,-39.26,24.57,180.0,bottom
R33,-9.74,40.74,180.0,bottom
R34,-9.74,42.0,180.0,bottom
R35,-9.74,43.26,180.0,bottom
R36,-9.74,44.55,180.0,bottom
R37,-9.74,45.5168,180.0,bottom
R38,-9.74,38.2,0.0,bottom
R39,-7.859999,19.975,0.0,bottom
R4,-22.0,0.2,0.0,bottom
R40,-12.0,15.75,0.0,bottom
R41,-13.75,18.25,90.0,bottom
R42,-6.07,11.78,90.0,bottom
R43,-7.65,33.4,0.0,bottom
R44,9.375,21.575,180.0,bottom
R45,-5.08,11.77,90.0,bottom
R46,-11.75,27.37,270.0,bottom
R47,44.984999,21.56,90.0,bottom
R48,49.674999,23.84,90.0,bottom
R49,9.3472,16.6878,90.0,bottom
R5,-40.0,0.2,0.0,bottom
R50,36.15,56.95,90.0,bottom
R51,47.98,48.551249,90.0,bottom
R52,9.901104,27.25,180.0,bottom
